,timestep,AEP,AP,ATSI,DAY,DEOK,DOM,DUQ,EKPC,MIDATL,NI
0,2020-01-01 05:00:00.000000,13332.0,5409.4,6651.0,1683.8,2670.9,10320.6,1367.9,1528.7,26798.9,9979.8
1,2020-01-01 06:00:00.000000,13110.8,5311.3,6458.1,1643.6,2620.0,10289.0,1344.2,1491.8,26166.4,9696.8
2,2020-01-01 07:00:00.000000,12925.2,5223.9,6298.7,1614.4,2558.4,10242.1,1308.5,1467.0,25680.1,9476.1
3,2020-01-01 08:00:00.000000,12884.9,5194.3,6233.3,1593.0,2528.4,10272.7,1299.1,1470.9,25463.6,9328.8
4,2020-01-01 09:00:00.000000,12905.0,5283.3,6272.3,1591.6,2526.4,10503.2,1301.5,1475.7,25698.3,9240.3
5,2020-01-01 10:00:00.000000,12937.9,5353.9,6356.0,1610.0,2560.8,10924.8,1324.9,1496.8,26354.4,9295.9
6,2020-01-01 11:00:00.000000,13158.4,5549.8,6451.6,1645.0,2615.0,11377.5,1350.6,1513.6,27171.6,9476.9
7,2020-01-01 12:00:00.000000,13493.7,5647.1,6600.2,1683.1,2660.0,11662.5,1378.3,1567.5,27738.9,9686.2
8,2020-01-01 13:00:00.000000,13629.6,5745.7,6597.6,1708.4,2685.4,11566.2,1391.0,1608.5,28168.1,9656.4
9,2020-01-01 14:00:00.000000,13866.3,5815.8,6731.8,1756.5,2735.7,11134.1,1424.7,1572.2,28588.6,9568.9
10,2020-01-01 15:00:00.000000,13996.6,5833.9,6838.4,1774.9,2720.9,10753.4,1447.4,1528.9,28834.4,9531.1
11,2020-01-01 16:00:00.000000,13940.4,5836.3,6869.3,1760.0,2680.9,10472.8,1454.1,1462.9,28896.4,9534.2
12,2020-01-01 17:00:00.000000,13715.6,5734.3,6825.9,1731.9,2645.7,10253.6,1445.0,1426.8,28931.6,9536.6
13,2020-01-01 18:00:00.000000,13349.1,5594.6,6743.8,1691.0,2584.0,9968.5,1448.2,1327.3,28889.7,9511.0
14,2020-01-01 19:00:00.000000,12999.7,5474.6,6648.1,1649.7,2533.3,9943.4,1435.9,1336.6,28846.3,9439.7
15,2020-01-01 20:00:00.000000,12948.4,5487.2,6626.0,1633.6,2518.9,10130.9,1418.2,1309.3,29246.8,9402.3
16,2020-01-01 21:00:00.000000,13212.8,5661.6,6772.7,1660.9,2561.8,10700.1,1444.0,1311.8,30813.3,9509.1
17,2020-01-01 22:00:00.000000,14109.5,6128.7,7247.8,1783.0,2762.7,11765.6,1547.0,1475.8,33399.3,10103.9
18,2020-01-01 23:00:00.000000,14499.7,6277.6,7424.0,1855.2,2903.1,12061.1,1564.1,1565.0,33765.9,10719.2
19,2020-01-02 00:00:00.000000,14632.5,6386.8,7399.5,1850.1,2915.5,12056.0,1565.8,1627.2,33710.9,10679.7
20,2020-01-02 01:00:00.000000,14814.6,6363.9,7303.1,1837.3,2907.9,12003.2,1547.1,1646.9,33344.1,10568.8
21,2020-01-02 02:00:00.000000,14680.3,6236.5,7147.7,1799.1,2838.1,11783.8,1505.9,1636.3,32377.0,10391.6
22,2020-01-02 03:00:00.000000,14260.8,6048.9,6884.9,1738.0,2728.1,11458.3,1445.4,1584.1,30824.9,10098.2
23,2020-01-02 04:00:00.000000,13870.8,5877.0,6564.3,1699.5,2625.3,11092.6,1376.6,1537.7,29460.7,9648.6
24,2020-01-02 05:00:00.000000,13665.0,5821.3,6378.8,1663.5,2547.9,10923.0,1325.2,1464.8,28486.9,9231.5
25,2020-01-02 06:00:00.000000,13611.5,5771.4,6260.8,1635.7,2501.0,10886.7,1311.2,1512.5,28110.6,8956.0
26,2020-01-02 07:00:00.000000,13623.1,5826.9,6209.3,1625.0,2492.2,11005.1,1303.0,1520.6,28089.0,8781.7
27,2020-01-02 08:00:00.000000,13750.4,5854.4,6258.1,1635.9,2507.5,11215.9,1305.7,1482.5,28362.4,8687.3
28,2020-01-02 09:00:00.000000,14093.9,6028.4,6369.2,1677.7,2568.8,11706.9,1338.9,1545.3,29367.4,8752.8
